date,hs300,nasdaq100,gold,dividend,price_hs300,price_nasdaq100,price_gold,price_dividend,erp_pct,cn_10y_rate,w_hs300,w_nasdaq100,w_gold,w_dividend,w_cash,requested_cash_floor,hs300_trend_filter_passed,nasdaq_trend_filter_passed,gold_crisis_hedge_active,cash_floor_buffer,target_cash_pct,cash_rf_daily,strategy_return,benchmark_return,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,high_cash_defense_mode
2025-06-18,-0.02130859864627721,-0.0031786395422758185,0.0005334044539273552,0.005972696245733822,3.904,1.568,7.503,1.179,6.619238315441785,1.6384,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5456e-05,-0.004298381933923758,-0.02130859864627721,1.053744431117816,0.9706613625062155,-0.006401098886620549,-0.04989048430275034,True
2025-06-19,-0.007940573770491732,-0.005739795918367374,-0.0050646408103425244,-0.0016963528413910245,3.873,1.559,7.465,1.177,6.628798593879239,1.6425,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.553599999999999e-05,-0.003226310130900092,-0.007940573770491732,1.050344724784321,0.9629537543510689,-0.009606757087333828,-0.057434899002190565,True
2025-06-20,0.0012909888974954598,0.0019243104554202972,-0.0038847957133288924,0.004248088360237823,3.878,1.562,7.436,1.182,6.61122508250825,1.6396,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.570000000000001e-05,0.00020928133574375985,0.0012909888974954598,1.0505645423313152,0.9641969169567377,-0.00939948626654541,-0.0562180579216357,True
2025-06-23,0.0033522434244455113,-0.001920614596671033,0.0037654653039269625,0.006768189509306355,3.891,1.559,7.464,1.19,6.554921311475411,1.6418,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5584e-05,0.0026326159432927235,0.0033522434244455113,1.0533302752949147,0.9674291397314766,-0.006791615560656661,-0.05305427111219296,True
2025-06-24,0.01156515034695449,0.02309172546504179,-0.012325830653804992,0.0008403361344537785,3.936,1.595,7.372,1.191,6.475476848090983,1.648,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.567199999999999e-05,0.0005784406761456903,0.01156515034695449,1.0539395643715612,0.9786176031824959,-0.006217103431207849,-0.04210270138719918,True
2025-06-25,0.016514227642276502,0.0,0.0027129679869777323,0.008396305625524736,4.001,1.595,7.392,1.201,6.377728514056225,1.6544,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.591999999999999e-05,0.005956964351793382,0.016514227642276502,1.0602178447854673,0.9947787170561907,-0.0002971741429255159,-0.02628376733998561,True
2025-06-26,-0.0037490627343164107,0.005015673981191293,0.0017586580086579318,0.004163197335553592,3.986,1.603,7.405,1.206,6.392385209003216,1.6462,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.6176e-05,6.54159184855225e-05,-0.0037490627343164107,1.0602871999095786,0.9910492292391843,-0.00023177766435955593,-0.029934290581650203,True
2025-06-27,-0.005770195684897228,0.009981285090455483,-0.010668467251856883,-0.014925373134328401,3.963,1.619,7.326,1.188,6.483881300813007,1.6462,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5848e-05,-0.005788709141744943,-0.005770195684897228,1.054149505702587,0.9853306812531076,-0.006019145112620028,-0.03553175955220278,True
2025-06-30,0.004794347716376546,0.0061766522544781655,-0.0016380016380015405,-0.0016835016835017313,3.982,1.629,7.314,1.186,6.456827714748783,1.6469,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5848e-05,0.0006448005489685686,0.004794347716376546,1.0548292218825588,0.9900546991546492,-0.005378225711724527,-0.03090776344609414,True
2025-07-01,0.0015067805123052391,-0.0042971147943523524,0.011348099535138045,0.00927487352445211,3.988,1.622,7.397,1.197,6.4277250201775615,1.6433,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5876e-05,0.004063896463771735,0.0015067805123052391,1.0591159386272504,0.9915464942814516,-0.001336185800403955,-0.029447554149428457,True
