date,A_absolute_return_strategy_nav,A_absolute_return_benchmark_nav,A_absolute_return_strategy_drawdown,A_absolute_return_benchmark_drawdown,A_absolute_return_w_cash,A_absolute_return_turnover,A_absolute_return_trading_cost,B_offensive_growth_strategy_nav,B_offensive_growth_benchmark_nav,B_offensive_growth_strategy_drawdown,B_offensive_growth_benchmark_drawdown,B_offensive_growth_w_cash,B_offensive_growth_turnover,B_offensive_growth_trading_cost
2025-08-12,521662.2355373796,393082.0344422803,-0.0013099657107749074,-0.16657869288322946,0.4,0.028571428571428588,2.8571428571428588e-05,532987.6323042139,393082.0344422803,-0.0010488307002923802,-0.16657869288322946,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-08-13,523057.41686456435,396336.02479362366,0.0,-0.15967950987729607,0.4,0.028571428571428588,2.8571428571428588e-05,534951.7474880886,396336.02479362366,0.0,-0.15967950987729607,0.25,0.05844155844155846,5.844155844155846e-05
2025-08-14,522828.19569256867,395685.226723355,-0.0004382332887462592,-0.16105934647848263,0.4,0.0,0.0,534505.4437747357,395685.226723355,-0.0008342877940833437,-0.16105934647848263,0.25,0.0,0.0
2025-08-15,523537.73817048647,399311.10168628045,0.0,-0.15337168541472823,0.4,0.0,0.0,535437.7394028073,399311.10168628045,0.0,-0.15337168541472823,0.25,0.0,0.0
2025-08-18,524541.0909977274,402286.1785789373,0.0,-0.1470638609521604,0.4,0.0,0.0,536578.5988453185,402286.1785789373,0.0,-0.1470638609521604,0.25,0.0,0.0
2025-08-19,523460.34635794384,400240.8132152357,-0.002060362206758315,-0.15140049027017577,0.4,0.0,0.0,535121.3304253806,400240.8132152357,-0.002715852669252672,-0.15140049027017577,0.25,0.0,0.0
2025-08-20,525183.8603535597,405726.11123607174,0.0,-0.13977043891731633,0.4,0.028571428571428588,2.8571428571428588e-05,536816.0968453232,405726.11123607174,0.0,-0.13977043891731633,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-08-21,526397.537894131,407027.70737660903,0.0,-0.13701076571494308,0.4,0.0,0.0,538253.3127803385,407027.70737660903,0.0,-0.13701076571494308,0.29000000000000004,0.0,0.0
2025-08-22,528622.6124886428,416417.7938190571,0.0,-0.11710169475496335,0.4,0.028571428571428588,2.8571428571428588e-05,540861.5779395314,416417.7938190571,0.0,-0.11710169475496335,0.25,0.05844155844155846,5.844155844155846e-05
2025-08-25,533109.125993178,424413.31296807225,0.0,-0.10014941651181242,0.4,0.0,0.0,546994.297207104,424413.31296807225,0.0,-0.10014941651181242,0.25,0.0,0.0
2025-08-26,532135.9978592239,422182.00529857964,-0.0018253826215058888,-0.10488028485873835,0.4,0.0,0.0,545547.7451489082,422182.00529857964,-0.0026445468729413557,-0.10488028485873835,0.25,0.0,0.0
2025-08-27,529259.0243468602,416045.9092074749,-0.0072219766246639505,-0.11789017281278458,0.4,0.0,0.0,542186.3428018983,416045.9092074749,-0.00878977062421804,-0.11789017281278458,0.25,0.0,0.0
2025-08-28,531219.6741872028,423855.486050699,-0.0035442120831361557,-0.1013321335985441,0.4,0.028571428571428588,2.8571428571428588e-05,544205.0197818496,423855.486050699,-0.005099280631436609,-0.1013321335985441,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-08-29,532387.6893406404,427760.274472311,-0.0013532626199064257,-0.09305311399142391,0.4,0.0,0.0,545628.5508565283,427760.274472311,-0.0024968200903539017,-0.09305311399142391,0.29000000000000004,0.0,0.0
2025-09-01,533517.1301946301,429154.84176574385,0.0,-0.09009632127459544,0.4,0.028571428571428588,2.8571428571428588e-05,546486.6911155384,429154.84176574385,-0.0009279915607117717,-0.09009632127459544,0.25,0.05844155844155846,5.844155844155846e-05
2025-09-02,533404.0587436014,426737.5917904602,-0.00021193593350499196,-0.0952214286504317,0.4,0.0,0.0,546012.1847983879,426737.5917904602,-0.0017954710199551416,-0.0952214286504317,0.25,0.0,0.0
2025-09-03,532180.4818635869,422925.7745217437,-0.0025053522284383956,-0.10330332874309667,0.4,0.028571428571428588,2.8571428571428588e-05,544426.6192016131,422925.7745217437,-0.004694158638584023,-0.10330332874309667,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-09-04,529682.0011036732,414279.4573024599,-0.007188389789017258,-0.12163544358743417,0.4,0.0,0.0,541426.7641822293,414279.4573024599,-0.010178411462975046,-0.12163544358743417,0.29000000000000004,0.0,0.0
2025-09-05,532944.3443297277,423390.63028622133,-0.0010736035123998233,-0.10231773117082044,0.4,0.028571428571428588,2.8571428571428588e-05,545703.304135647,423390.63028622133,-0.0023601581918654135,-0.10231773117082044,0.25,0.05844155844155846,5.844155844155846e-05
2025-09-08,533666.4603935315,423483.6014391169,0.0,-0.1021206116563651,0.4,0.0,0.0,546610.3151903402,423483.6014391169,-0.0007019854114100887,-0.1021206116563651,0.25,0.0,0.0
2025-09-09,534561.3724689053,420973.38031093765,0.0,-0.10744283854665682,0.4,0.0,0.0,547688.7532721396,420973.38031093765,0.0,-0.10744283854665682,0.25,0.0,0.0
2025-09-10,535031.3740166035,421903.09183989296,0.0,-0.10547164340210424,0.4,0.0,0.0,548706.4195240745,421903.09183989296,0.0,-0.10547164340210424,0.25,0.0,0.0
2025-09-11,538388.097349868,433245.5724931471,0.0,-0.08142306263856436,0.4,0.0,0.0,552793.0899989981,433245.5724931471,0.0,-0.08142306263856436,0.25,0.0,0.0
2025-09-12,537614.5096311009,429619.69753022166,-0.0014368588803782556,-0.08911072370231876,0.4,0.0,0.0,552297.5237925741,429619.69753022166,-0.0008964768471055873,-0.08911072370231876,0.25,0.0,0.0
2025-09-15,537438.1334522768,430363.4667533857,-0.0017644593226843197,-0.08753376758667708,0.4,0.0,0.0,552503.793779309,430363.4667533857,-0.000523335448512241,-0.08753376758667708,0.25,0.0,0.0
2025-09-16,537951.6179606017,429526.72637732606,-0.0008107151540215352,-0.08930784321677421,0.4,0.0,0.0,553165.8470035075,429526.72637732606,0.0,-0.08930784321677421,0.25,0.0,0.0
2025-09-17,539233.3882169944,432594.77442287834,0.0,-0.08280289923975126,0.4,0.0,0.0,555314.2482020162,432594.77442287834,0.0,-0.08280289923975126,0.25,0.0,0.0
2025-09-18,535600.9818771624,427109.47640204243,-0.006736241522140807,-0.09443295059261048,0.4,0.0,0.0,551267.8424723389,427109.47640204243,-0.00728669531311088,-0.09443295059261048,0.25,0.0,0.0
2025-09-19,536755.102465748,428039.18793099764,-0.0045959426945741955,-0.09246175544805812,0.4,0.0,0.0,552683.3260169034,428039.18793099764,-0.004737717776252204,-0.09246175544805812,0.25,0.0,0.0
2025-09-22,538128.9291206348,429433.75522443047,-0.002048202356333184,-0.08950496273122954,0.4,0.0,0.0,554479.6227855848,429433.75522443047,-0.001502978573184044,-0.08950496273122954,0.25,0.0,0.0
2025-09-23,539863.8477511784,429712.6686831171,0.0,-0.08891360418786376,0.4,0.0,0.0,556607.4817748995,429712.6686831171,0.0,-0.08891360418786376,0.25,0.0,0.0
2025-09-24,541460.0824676565,433524.48595183366,0.0,-0.08083170409519869,0.4,0.0,0.0,558703.0394426138,433524.48595183366,0.0,-0.08083170409519869,0.25,0.0,0.0
2025-09-25,541476.1476041783,436499.5628444905,0.0,-0.07452387963263074,0.4,0.0,0.0,558917.7207459598,436499.5628444905,0.0,-0.07452387963263074,0.25,0.0,0.0
2025-09-26,539952.4998619423,432408.8321170873,-0.0028138778577367907,-0.08319713826866171,0.4,0.0,0.0,556578.841951239,432408.8321170873,-0.004184656717627688,-0.08319713826866171,0.25,0.0,0.0
2025-09-29,543541.7545145438,439567.61089004274,0.0,-0.0680189356556079,0.4,0.0,0.0,561558.249831577,439567.61089004274,0.0,-0.0680189356556079,0.25,0.0,0.0
2025-09-30,544619.9008319239,440776.23587768455,0.0,-0.06545638196768977,0.4,0.0,0.0,563369.23145999,440776.23587768455,0.0,-0.06545638196768977,0.25,0.0,0.0
2025-10-09,550605.4212150878,447749.0723448489,0.0,-0.050672418383546636,0.4,0.0,0.0,570747.4330603093,447749.0723448489,0.0,-0.050672418383546636,0.25,0.0,0.0
2025-10-10,547294.8206244595,438730.870513983,-0.006012655275573375,-0.06979301128570514,0.4,0.0,0.0,566275.8385936317,438730.870513983,-0.007834629133066984,-0.06979301128570514,0.25,0.0,0.0
2025-10-13,547843.8304176595,436220.64938580384,-0.005015553227452729,-0.07511523817599675,0.4,0.028571428571428588,2.8571428571428588e-05,565819.8739731192,436220.64938580384,-0.00863351948999369,-0.07511523817599675,0.29000000000000004,0.05844155844155846,5.844155844155846e-05
2025-10-14,548393.776591245,431851.00519971404,-0.004016750541544045,-0.08437985535539338,0.4,0.0,0.0,565747.2255503507,431851.00519971404,-0.008760805954304063,-0.08437985535539338,0.29000000000000004,0.0,0.0
2025-10-15,552470.2843244924,437522.24552634114,0.0,-0.07235556497362339,0.4,0.0,0.0,570600.9502681728,437522.24552634114,-0.0002566508119906663,-0.07235556497362339,0.29000000000000004,0.0,0.0
2025-10-16,554213.8779083564,438916.81281977403,0.0,-0.0693987722567947,0.4,0.0,0.0,572731.9427957535,438916.81281977403,0.0,-0.0693987722567947,0.29000000000000004,0.0,0.0
2025-10-17,552617.3286260756,429898.61098890804,-0.0028807457660682267,-0.08851936515895342,0.4,0.0,0.0,569909.4401160703,429898.61098890804,-0.004928139097507445,-0.08851936515895342,0.29000000000000004,0.0,0.0
2025-10-20,552444.3740617373,431386.14943523647,-0.0031928176416247123,-0.0853654529276695,0.4,0.0,0.0,570809.1147584235,431386.14943523647,-0.0033572914196888792,-0.0853654529276695,0.29000000000000004,0.0,0.0
2025-10-21,556674.5160566124,437894.1301379233,0.0,-0.07156708691580227,0.4,0.0,0.0,575863.7228463831,437894.1301379233,0.0,-0.07156708691580227,0.29000000000000004,0.0,0.0
2025-10-22,554378.738549018,436499.56284449046,-0.00412409305864625,-0.07452387963263085,0.4,0.0,0.0,573576.9310845528,436499.56284449046,-0.003971064109625,-0.07452387963263085,0.29000000000000004,0.0,0.0
2025-10-23,554629.6675818724,438173.04359660984,-0.0036733286970369594,-0.0709757283724366,0.4,0.0,0.0,573941.8839901102,438173.04359660984,-0.0033373153751959928,-0.0709757283724366,0.29000000000000004,0.0,0.0
2025-10-24,555779.8247381636,443472.3993116547,-0.0016072072506329027,-0.05973991604848794,0.48,0.07999999999999997,7.999999999999998e-05,575804.7697464682,443472.3993116547,-0.00010237335254170699,-0.05973991604848794,0.4,0.10999999999999999,0.00010999999999999999
2025-10-27,558137.6450271349,448678.78387380415,0.0,-0.048701223238994173,0.44999999999999996,0.030000000000000013,3.0000000000000014e-05,579342.9284244643,448678.78387380415,0.0,-0.048701223238994173,0.3400000000000001,0.05999999999999997,5.9999999999999974e-05
2025-10-28,555147.2566243432,446447.47620431153,-0.005357797363133132,-0.053432091585919994,0.48,0.030000000000000013,3.0000000000000014e-05,576072.3109213688,446447.47620431153,-0.005645391257281807,-0.053432091585919994,0.4,0.05999999999999997,5.9999999999999974e-05
2025-10-29,557561.6447875369,452025.74537804315,-0.001032003923637781,-0.04160492071860522,0.48,0.0,0.0,579405.7201358868,452025.74537804315,0.0,-0.04160492071860522,0.4,0.0,0.0
2025-10-30,556568.9823640176,448399.8704151177,-0.00281053012118726,-0.049292581782359624,0.4,0.07999999999999997,7.999999999999998e-05,577999.7238398741,448399.8704151177,-0.0024266179071944505,-0.049292581782359624,0.29000000000000004,0.10999999999999999,0.00010999999999999999
2025-10-31,555135.1581621375,442170.8031711175,-0.005379473847981431,-0.062499589250860965,0.4,0.0,0.0,576052.2024257218,442170.8031711175,-0.00578785744362087,-0.062499589250860965,0.29000000000000004,0.0,0.0
2025-11-03,556365.138974166,442821.60124138615,-0.0031757507646392735,-0.0611197526496744,0.4,0.0,0.0,577261.7385742312,442821.60124138615,-0.003700311348588059,-0.0611197526496744,0.29000000000000004,0.0,0.0
2025-11-04,555023.0591111849,439660.58204293833,-0.0055803186609972855,-0.06782181614115257,0.4,0.0,0.0,575027.6437396723,439660.58204293833,-0.007556149765293618,-0.06782181614115257,0.29000000000000004,0.0,0.0
2025-11-05,554337.9117740529,440218.40896031156,-0.006807878463201078,-0.06663909905442089,0.4,0.0,0.0,573851.7683308492,440218.40896031156,-0.009585600576630493,-0.06663909905442089,0.29000000000000004,0.0,0.0
2025-11-06,557566.8656195643,446726.3896629982,-0.0010226499012494505,-0.0528407330425541,0.4,0.0,0.0,578280.3222830268,446726.3896629982,-0.00194233127797927,-0.0528407330425541,0.29000000000000004,0.0,0.0
